Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66387.9,   30.0,   0.99989, 2,    66387.3,  -90.0,   0.99988, 3,    66389.8,  150.0,   0.99992
"650", 4.16, 1,    2401.43,    0.0,   0.99986, 2,    2401.31, -120.0,   0.99981, 3,    2401.43,  120.0,   0.99986
"RG60", 4.16, 1,    2581.11,    0.0,    1.0747, 2,    2595.91, -120.0,    1.0808, 3,    2551.14,  120.0,    1.0622
"633", 4.16, 1,       2411,   -2.2,    1.0038, 2,    2439.47, -124.8,    1.0157, 3,    2440.62,  116.6,    1.0162
"634", 0.48, 1,    272.243,   -3.0,   0.98237, 2,    276.208, -125.4,   0.99668, 3,    279.064,  116.4,     1.007
"671", 4.16, 1,    2333.61,   -3.8,   0.97162, 2,    2403.72, -127.2,    1.0008, 3,    2414.15,  114.8,    1.0052
"645", 4.16, 2,    2431.51, -124.7,    1.0124, 3,    2448.99,  116.6,    1.0197, 0, 0, 0, 0
"646", 4.16, 2,    2425.59, -124.7,    1.0099, 3,    2445.85,  116.6,    1.0184, 0, 0, 0, 0
"692", 4.16, 1,    2333.61,   -3.8,   0.97162, 2,    2403.72, -127.2,    1.0008, 3,    2414.15,  114.8,    1.0052
"675", 4.16, 1,    2328.16,   -3.9,   0.96935, 2,    2403.76, -127.3,    1.0008, 3,    2414.84,  114.7,    1.0054
"611", 4.16, 3,    2412.72,  114.6,    1.0046, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 1,    2317.75,   -3.8,   0.96501, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,     2391.3,   -2.7,   0.99564, 2,    2431.95, -125.6,    1.0126, 3,    2433.59,  115.9,    1.0132
"680", 4.16, 1,    2316.57,   -3.9,   0.96452, 2,    2384.11, -127.8,   0.99264, 3,    2407.35,  114.5,    1.0023
"632", 4.16, 1,    2428.07,   -2.1,    1.0109, 2,    2454.89, -124.5,    1.0221, 3,    2454.64,  116.7,     1.022
"684", 4.16, 1,    2329.07,   -3.8,   0.96973, 3,    2413.34,  114.7,    1.0048, 0, 0, 0, 0
